docid	allwords	stanfordwords
hvd.rsmd2m	141576	3536
nyp.33433075814735	35334	976
mdp.39015014117546	37543	1117
uiuo.ark+=13960=t2t449b4t	42036	1248
uiuo.ark+=13960=t3vt28143	43404	1295
nyp.33433074916226	50145	1736
nyp.33433074916218	56541	1933
uc2.ark+=13960=t3513xp37	51732	1261
njp.32101064790809	37350	1257
njp.32101064790791	36348	1276
njp.32101064790783	35295	1156
uiuo.ark+=13960=t7cr6hq4j	54430	1301
uva.x000099740	63720	1606
uiuo.ark+=13960=t0ks7d013	58257	1470
ucm.5325889951	89181	2837
uc1.b3294822	83500	2497
hvd.32044073555468	37948	1004
nyp.33433074915129	60110	1623
nyp.33433074915137	61006	1622
nyp.33433074951595	58844	1740
uiuo.ark+=13960=t6xw4rw1j	56867	1578
uiuo.ark+=13960=t8nc69j1b	58029	1523
nyp.33433074951629	60042	1270
dul1.ark+=13960=t6737pj6n	52074	2577
uc1.$b316136	35445	1291
nyp.33433082456462	40606	2344
hvd.hn21hk	45419	1911
hvd.hn21hl	39791	1687
hvd.hn21hm	40364	1683
hvd.hn21hn	41918	1646
mdp.39015078572479	31261	1534
uiuo.ark+=13960=t9x06cv0p	48246	1545
njp.32101069165098	50950	1489
uiuo.ark+=13960=t8df71j7t	65318	1833
njp.32101067634392	70508	2396
njp.32101068166675	42431	1201
uc1.b3287723	41621	1190
njp.32101068166659	42199	1271
nnc1.cu58503331	35807	1035
njp.32101073593145	73105	1792
nyp.33433074917844	92451	2535
nyp.33433074917851	89292	2585
nyp.33433074917877	84402	1956
uiuo.ark+=13960=t1pg2cj2j	66804	2874
uiuo.ark+=13960=t5m90x77j	64873	2645
uiuo.ark+=13960=t3cz3x62n	70314	2646
mdp.39015000623663	84359	5781
mdp.39015010689878	40752	2942
mdp.39015059375132	44929	1442
nyp.33433074967500	36703	1760
uc2.ark+=13960=t8df6pq05	44400	2108
dul1.ark+=13960=t2m628g7q	37327	1137
uc1.b3553822	6297	145
uc2.ark+=13960=t45q5047r	110247	2246
hvd.hn2tpv	45251	988
uc2.ark+=13960=t4nk38459	12909	243
uc1.$b248232	10156	315
uc2.ark+=13960=t3gx4dk9q	55771	1598
uiuo.ark+=13960=t06x01570	37860	1112
uiuo.ark+=13960=t79s2dz6m	36233	1057
hvd.hwspyj	35402	1337
nyp.33433074878988	26088	648
dul1.ark+=13960=t89g6ct7k	23333	659
uc2.ark+=13960=t3pv6bn87	40559	816
uc1.$b255842	31343	736
uc1.$b156235	40412	1076
mdp.39015073763644	58086	1021
mdp.39015073763651	50430	729
uc1.b3321305	34305	930
uiuo.ark+=13960=t4hm5mv1s	41587	789
nyp.33433071364917	32833	671
hvd.hxij8t	39938	921
mdp.39015010783804	44985	1506
mdp.39015010783788	46682	1563
njp.32101068971447	51604	1179
uc2.ark+=13960=t4jm2gv57	44821	1031
uc1.b3327125	53885	1178
nyp.33433074922729	49659	1072
nyp.33433075812846	71224	1947
nyp.33433075812838	70691	1925
hvd.hxgeza	49271	1131
hvd.hxgeyk	48851	1103
hvd.hn2gig	30531	1646
umn.31951001996052b	187885	8125
uc1.b4109060	91569	2060
njp.32101072858051	114439	3781
njp.32101072858069	111507	3573
dul1.ark+=13960=t2b861307	163943	4302
uc1.b3114047	891231	37707
mdp.39015023957098	16475	770
uc1.b3546611	1976	57
mdp.39015010418625	111015	2868
uc1.32106008140425	53485	2732
mdp.39076006602267	51328	1565
uc1.$b250206	33650	789
uc1.$b250207	37453	951
uc1.$b250208	27193	630
uc2.ark+=13960=t0zp40383	46706	1055
hvd.hwe3la	55124	1720
hvd.hwe3lb	46854	1152
uiuo.ark+=13960=t76t1998v	58112	2280
uiuo.ark+=13960=t19k4zt0k	56516	2064
uiuo.ark+=13960=t2v41c088	56444	2056
uiuo.ark+=13960=t8z89vv9r	56200	2085
uc2.ark+=13960=t4nk3kh11	95525	5541
pst.000006711061	68952	2309
pst.000006711085	64969	1834
pst.000006711092	69500	2032
pst.000006711108	66951	1973
uva.x001770566	93231	5166
uva.x001770565	89273	4781
nyp.33433075743058	53638	1873
